Descricao,Quantidade,TotalVenda,PrecoUnitario
CANETA BIC 4 CORES,1.0,9.8,9.8
CANETA BIC CELEBRATIO PR,1.0,6.7,6.7
CANETA BIC CELEBRATION A,5.0,33.5,6.7
CANETA BIC CRISTAL 1.6 A,2.0,4.4,2.2
CANETA BIC CRISTAL AZ,64.0,76.6,1.2
CANETA BIC CRISTAL ESCRI,77.0,77.0,1.0
CANETA BIC CRISTAL ESCRIT,38.0,38.0,1.0
CANETA BIC CRISTAL ESCRITO,25.0,25.0,1.0
CANETA BIC CRISTAL PRETA,53.0,63.6,1.2
CANETA BIC CRISTAL ULTRA,6.0,10.2,1.7
CANETA BIC CRISTAL ULTRAA,6.0,10.2,1.7
CANETA BIC CRISTAL ULTRA1,1.0,1.7,1.7
CANETA BIC CRISTAL UP SO,1.0,2.0,2.0
CANETA BIC CRISTAL VERDE,6.0,7.2,1.2
CANETA BIC CRISTAL VERME,19.0,22.8,1.2
CANETA BIC FASHION AZ,1.0,1.8,1.8
CANETA BIC SHIMMERS FASH,1.0,2.0,2.0
CANETA BONEQUINHA SB010,1.0,8.7,8.7
CANETA COMPACTOR  07 VER,1.0,1.4,1.4
CANETA COMPACTOR 07 AZUL,14.0,16.0,1.14
CANETA COMPACTOR 07 PRET,3.0,3.6,1.2
CANETA COMPACTOR ECONOMI,1.0,1.0,1.0
CANETA COMPACTOR MICROLI,10.0,50.0,5.0
CANETA COMPACTOR MICROLI,3.0,15.0,5.0
CANETA COMPACTOR MICROLI,2.0,10.0,5.0
CANETA COMPACTOR TOP 200,18.0,18.0,1.0
CANETA CORRETIVA FRAMA P,2.0,9.0,4.5
CANETA CORRETIVO BRW 9ML,2.0,14.0,7.0
CANETA ESFEROGRAFICA AZU,1.0,8.5,8.5
CANETA HID FC 12,1.0,15.0,15.0
CANETA HIDROGRAFICA LEO,1.0,8.8,8.8
CANETA MOLIN  GEL NET OU,1.0,8.0,8.0
CANETA PILOT FINE AZ 07,4.0,14.0,3.5
CANETA PILOT MEDIA PR M,1.0,3.5,3.5
CANETA PONTA FINA TOK 10,3.0,39.0,13.0
CANETA TRILUX AZUL FABER,6.0,9.6,1.6
CANETA UNICORNIO,1.0,8.5,8.5
CANETE CIS SPIRO 07MM SO,27.0,98.8,3.66
CANTETA BIC F ENEM,21.0,21.0,1.0
MARC PILOT QUAD BCO C RE,1.0,16.0,16.0
MARC RET PROJ PIL 1.0P,1.0,9.5,9.5
MARC TEXTO CIS LUMI AZUL,1.0,3.5,3.5
MARCADOR PONTA DUPLA AZ,1.0,4.5,4.5
MARCADOR QUADRO BRANCO B,3.0,21.0,7.0
MARCADOR QUADRO BRANCO B,3.0,21.0,7.0
MARCADOR QUADRO BRANCO V,3.0,21.0,7.0
MARCADOR RETRO PROJETOR,2.0,9.0,4.5
MARCADOR RETRO PROJETOR1,14.0,84.0,6.0
MARCADOR RETRO PROJETOR2,9.0,54.0,6.0
MARCADOR TECIDO ACRILPEN,1.0,10.3,10.3
PINCEL ATOMICO BIC RECAR,1.0,4.5,4.5
PINCEL ATOMICO BIC RECAR,7.0,31.5,4.5
PINCEL ATOMICO BIC RECAR,4.0,18.0,4.5
