Descricao,Quantidade,TotalVenda,PrecoUnitario
CAN FA,17.0,28.7,1.69
CANETA BIC 4 CORES,1.0,9.8,9.8
CANETA BIC CRISTAL 1.6 A,8.0,17.6,2.2
CANETA BIC CRISTAL 1.6 P,3.0,6.6,2.2
CANETA BIC CRISTAL AZ,39.0,46.8,1.2
CANETA BIC CRISTAL ESCRI,44.0,43.5,0.99
CANETA BIC CRISTAL ESCRI,14.0,14.0,1.0
CANETA BIC CRISTAL ESCRI,6.0,6.0,1.0
CANETA BIC CRISTAL PRETA,35.0,42.0,1.2
CANETA BIC CRISTAL ULTRA,5.0,8.5,1.7
CANETA BIC CRISTAL ULTRA,12.0,20.4,1.7
CANETA BIC CRISTAL VERDE,3.0,3.6,1.2
CANETA BIC CRISTAL VERME,3.0,3.6,1.2
CANETA COMP ECONOMIC PRE,6.0,6.0,1.0
CANETA COMPACTOR 07 AZUL,1.0,1.2,1.2
CANETA COMPACTOR 07 PRET,1.0,1.2,1.2
CANETA COMPACTOR ECONOMI,57.0,57.0,1.0
CANETA COMPACTOR TOP 200,3.0,3.0,1.0
CANETA ESFEROGRAFICA AZU,2.0,17.0,8.5
CANETA ESFEROGRAFICA PIL,1.0,9.8,9.8
CANETA ESFEROGRAFICA PRE,1.0,9.0,9.0
CANETA FABER CASTELL PRE,1.0,1.7,1.7
CANETA HID FC 12,2.0,30.0,15.0
CANETA PILOT FINE AZ 07,26.0,95.6,3.68
CANETA PILOT FINE PRE 07,9.0,33.9,3.77
CANETA PILOT FINE VERM 0,1.0,3.8,3.8
CANETA PILOT MEDIA AZUL,4.0,15.2,3.8
CANETA PILOT MEDIA PR M,2.0,7.3,3.65
CANETA PILOT MEDIA VERM,1.0,3.8,3.8
CANETA TRILUX AZUL FABER,1.0,1.6,1.6
CANETE CIS SPIRO 07MM SO,18.0,70.2,3.9
MARCADOR CD E DVD PILOTO,10.0,68.1,6.81
MARCADOR CD PONTA FINA 1,1.0,10.0,10.0
MARCADOR PERMANENTE PILO,3.0,20.7,6.9
MARCADOR PERMANENTE RADE,1.0,7.5,7.5
MARCADOR PONTA DUPLA AZ,9.0,40.5,4.5
MARCADOR QUADRO BRANCO B,5.0,37.5,7.5
MARCADOR QUADRO BRANCO V,2.0,15.0,7.5
MARCADOR RETRO P.PILOT 1,1.0,9.5,9.5
MARCADOR RETRO PROJETOR,5.0,22.5,4.5
MARCADOR RETRO PROJETOR,15.0,93.0,6.2
MARCADOR RETRO PROJETOR,14.0,86.8,6.2
MARCADOR RETRO PROJETOR,4.0,24.8,6.2
MARCADOR TECIDO AZ ACRIL,2.0,21.0,10.5
PINCEL ATOMICO BIC RECAR,5.0,22.5,4.5
PINCEL ATOMICO BIC RECAR,4.0,18.0,4.5
PINCEL ATOMICO BIC RECAR,3.0,13.5,4.5
