Descricao,Quantidade,TotalVenda,PrecoUnitario
CAN FA,9.0,15.3,1.7
CAN GEL MOLIM METALICA P,2.0,16.0,8.0
CANETA BIC 4 CORES,10.0,94.6,9.46
CANETA BIC CELEBRATIO PR,1.0,6.7,6.7
CANETA BIC CELEBRATION A,3.0,20.1,6.7
CANETA BIC CRISTAL 1.6 A,8.0,17.6,2.2
CANETA BIC CRISTAL 1.6 P,2.0,4.4,2.2
CANETA BIC CRISTAL AZ,36.0,43.2,1.2
CANETA BIC CRISTAL ESCRI,56.0,55.5,0.99
CANETA BIC CRISTAL ESCRI,6.0,6.0,1.0
CANETA BIC CRISTAL ESCRI,5.0,5.0,1.0
CANETA BIC CRISTAL PRETA,38.0,45.6,1.2
CANETA BIC CRISTAL ULTRA,3.0,5.1,1.7
CANETA BIC CRISTAL ULTRA,3.0,6.8,2.27
CANETA BIC CRISTAL ULTRA,1.0,1.7,1.7
CANETA BIC CRISTAL VERDE,3.0,3.6,1.2
CANETA BIC CRISTAL VERME,7.0,8.4,1.2
CANETA BIC SHIMMERS FASH,5.0,11.5,2.3
CANETA COMPACTOR  07 VER,5.0,7.0,1.4
CANETA COMPACTOR 07 AZUL,14.0,16.8,1.2
CANETA COMPACTOR 07 PRET,1.0,1.2,1.2
CANETA COMPACTOR ECONOMI,21.0,21.0,1.0
CANETA COMPACTOR MICROLI,1.0,5.0,5.0
CANETA COMPACTOR MICROLI,1.0,5.0,5.0
CANETA COMPACTOR TOP 200,2.0,2.0,1.0
CANETA CORRETIVO BRW 9ML,2.0,14.0,7.0
CANETA FABER CASTELL PRE,6.0,10.0,1.67
CANETA MOLIN  GEL NET OU,1.0,8.0,8.0
CANETA PILOT FINE AZ 07,4.0,15.2,3.8
CANETA PILOT FINE VERM 0,1.0,3.8,3.8
CANETA PILOT MEDIA PR M,1.0,3.8,3.8
CANETA PONTA FINA TOK 10,1.0,13.0,13.0
CANETA QUE APAGA  FRIXIO,1.0,19.8,19.8
CANETA WAVE CIS 4ML,1.0,9.2,9.2
CANETE CIS SPIRO 07MM SO,21.0,83.6,3.98
CANTETA BIC F ENEM,10.0,10.0,1.0
MARC PILOT QUAD BCO C RE,1.0,16.0,16.0
MARCADOR CD E DVD 1.0 AZ,1.0,10.0,10.0
MARCADOR CD E DVD PILOTO,5.0,31.1,6.22
MARCADOR CD PONTA FINA 1,2.0,20.0,10.0
MARCADOR CD RETO PROJETO,1.0,4.5,4.5
MARCADOR CDXDVD PILOT 2.,5.0,31.5,6.3
MARCADOR PERMANENTE PILO,4.0,27.6,6.9
MARCADOR PONTA DUPLA AZ,3.0,13.5,4.5
MARCADOR QUADRO BRANCO B,3.0,21.0,7.0
MARCADOR QUADRO BRANCO B,3.0,21.0,7.0
MARCADOR QUADRO BRANCO V,1.0,7.0,7.0
MARCADOR RETRO PROGETOR,1.0,9.5,9.5
MARCADOR RETRO PROJETOR,5.0,22.5,4.5
MARCADOR RETRO PROJETOR,17.0,105.4,6.2
MARCADOR RETRO PROJETOR,11.0,68.2,6.2
MARCADOR RETRO PROJETOR,2.0,12.4,6.2
MARCADOR TECIDO AZ ACRIL,1.0,10.3,10.3
PINCEL ATOMICO BIC RECAR,2.0,9.0,4.5
PINCEL ATOMICO BIC RECAR,8.0,36.0,4.5
PINCEL ATOMICO BIC RECAR,5.0,22.5,4.5
