Descricao,Quantidade,TotalVenda,PrecoUnitario
CAN FA,12.0,19.8,1.65
CANETA BIC 4 CORES,2.0,19.6,9.8
CANETA BIC CELEBRATIO PR,1.0,6.7,6.7
CANETA BIC CELEBRATION A,3.0,20.1,6.7
CANETA BIC CRISTAL 1.6 A,2.0,4.4,2.2
CANETA BIC CRISTAL 1.6 P,25.0,55.0,2.2
CANETA BIC CRISTAL AZ,161.0,193.2,1.2
CANETA BIC CRISTAL ESCRI,68.0,70.0,1.03
CANETA BIC CRISTAL ESCRI,31.0,31.0,1.0
CANETA BIC CRISTAL ESCRI,9.0,9.0,1.0
CANETA BIC CRISTAL PRETA,40.0,48.0,1.2
CANETA BIC CRISTAL ULTRA,10.0,17.0,1.7
CANETA BIC CRISTAL ULTRA,8.0,13.6,1.7
CANETA BIC CRISTAL ULTRA,1.0,1.7,1.7
CANETA BIC CRISTAL VERDE,4.0,4.8,1.2
CANETA BIC CRISTAL VERME,8.0,9.6,1.2
CANETA BONEQUINHA SB010,1.0,8.7,8.7
CANETA COMPACTOR  07 VER,3.0,4.2,1.4
CANETA COMPACTOR 07 AZUL,1.0,1.2,1.2
CANETA COMPACTOR 07 PRET,2.0,2.4,1.2
CANETA COMPACTOR ECONOMI,8.0,8.0,1.0
CANETA COMPACTOR MICROLI,4.0,20.0,5.0
CANETA COMPACTOR TOP 200,4.0,4.0,1.0
CANETA ESF POP GEL 1.0MM,1.0,6.0,6.0
CANETA ESFEROGRAFICA AZU,2.0,17.0,8.5
CANETA ESFEROGRAFICA VER,1.0,8.5,8.5
CANETA FABER CASTELL PRE,4.0,6.8,1.7
CANETA HID FC 12,1.0,15.0,15.0
CANETA PILOT FINE AZ 07,3.0,11.4,3.8
CANETA PILOT FINE PRE 07,9.0,34.2,3.8
CANETA PILOT FINE VERM 0,1.0,3.8,3.8
CANETA PILOT FRIXION BAL,2.0,39.6,19.8
CANETA PILOT MEDIA AZUL,9.0,34.2,3.8
CANETA PILOT MEDIA PR M,6.0,22.8,3.8
CANETA QUE APAGA  FRIXIO,1.0,19.8,19.8
CANETA WAVE CIS 4ML,1.0,9.5,9.5
CANETE CIS SPIRO 07MM SO,30.0,115.4,3.85
MARC  QUADRO BRANCO PILO,1.0,10.8,10.8
MARC PILOT QUAD BCO C RE,1.0,18.0,18.0
MARC RET PROJ PIL 1.0P,1.0,9.5,9.5
MARCADOR CD E DVD PILOTO,28.0,189.0,6.75
MARCADOR CD RETO PROJETO,4.0,18.0,4.5
MARCADOR CDXDVD PILOT 2.,1.0,6.9,6.9
MARCADOR PERMANENTE PILO,2.0,13.8,6.9
MARCADOR PERMANENTE RADE,1.0,7.5,7.5
MARCADOR PONTA DUPLA AZ,4.0,18.0,4.5
MARCADOR QUADRO BRANCO B,3.0,21.5,7.17
MARCADOR QUADRO BRANCO B,3.0,21.5,7.17
MARCADOR RETRO PROJETOR,1.0,4.5,4.5
MARCADOR RETRO PROJETOR,15.0,93.0,6.2
MARCADOR RETRO PROJETOR,8.0,49.6,6.2
MARCADOR RETRO PROJETOR,3.0,18.6,6.2
MARCADOR TECIDO ACRILPEN,1.0,10.5,10.5
PINCEL ATOMICO BIC RECAR,6.0,27.0,4.5
PINCEL ATOMICO BIC RECAR,4.0,18.0,4.5
PINCEL ATOMICO BIC RECAR,2.0,9.0,4.5
