Descricao,Quantidade,TotalVenda,PrecoUnitario
CAN FA,114.0,192.5,1.69
CAN GEL MOLIM METALICA P,4.0,32.0,8.0
CANETA BIC 4 CORES,25.0,240.7,9.63
CANETA BIC CELEBRATIO PR,3.0,20.1,6.7
CANETA BIC CELEBRATION A,17.0,113.9,6.7
CANETA BIC CRISTAL 1.6 A,33.0,72.6,2.2
CANETA BIC CRISTAL 1.6 P,52.0,114.4,2.2
CANETA BIC CRISTAL AZ,512.0,618.8,1.21
CANETA BIC CRISTAL ESCRI,490.0,491.5,1.0
CANETA BIC CRISTAL ESCRIT,176.0,176.0,1.0
CANETA BIC CRISTAL ESCRITO,105.0,105.0,1.0
CANETA BIC CRISTAL PRETA,366.0,439.2,1.2
CANETA BIC CRISTAL ULTRA,61.0,103.7,1.7
CANETA BIC CRISTAL ULTRAA,52.0,90.1,1.73
CANETA BIC CRISTAL ULTRA1,11.0,18.7,1.7
CANETA BIC CRISTAL UP SO,5.0,10.0,2.0
CANETA BIC CRISTAL VERDE,40.0,48.0,1.2
CANETA BIC CRISTAL VERME,106.0,127.2,1.2
CANETA BIC FASHION AZ,1.0,1.8,1.8
CANETA BIC SHIMMERS FASH,30.0,68.4,2.28
CANETA BONEQUINHA SB010,2.0,17.4,8.7
CANETA COMP ECONOMIC PRE,7.0,7.0,1.0
CANETA COMPACTOR  07 VER,16.0,22.4,1.4
CANETA COMPACTOR 07 AZUL,37.0,43.2,1.17
CANETA COMPACTOR 07 PRET,13.0,15.6,1.2
CANETA COMPACTOR 07 VERM,2.0,2.4,1.2
CANETA COMPACTOR ECONOMI,95.0,95.0,1.0
CANETA COMPACTOR MICROLI,26.0,130.0,5.0
CANETA COMPACTOR MICROLI,9.0,44.0,4.89
CANETA COMPACTOR MICROLI,7.0,35.0,5.0
CANETA COMPACTOR MICROLI,2.0,10.0,5.0
CANETA COMPACTOR TOP 200,47.0,47.0,1.0
CANETA CORRETIVA FRAMA P,3.0,13.5,4.5
CANETA CORRETIVO BRW 9ML,7.0,49.0,7.0
CANETA DE CEDULA FALSA J,1.0,6.0,6.0
CANETA ESF POP GEL 1.0MM,1.0,6.0,6.0
CANETA ESFEROG GEL TREND,2.0,6.8,3.4
CANETA ESFEROGRAFICA AZU,5.0,42.5,8.5
CANETA ESFEROGRAFICA PIL,1.0,9.8,9.8
CANETA ESFEROGRAFICA PRE,2.0,18.5,9.25
CANETA ESFEROGRAFICA VER,1.0,8.5,8.5
CANETA FABER CASTELL PRE,15.0,25.3,1.69
CANETA HID FC 12,10.0,146.5,14.65
CANETA HIDROGRAFICA LEO,2.0,17.6,8.8
CANETA MOLIN  GEL NET OU,2.0,16.0,8.0
CANETA PILOT FINE AZ 07,53.0,194.9,3.68
CANETA PILOT FINE PRE 07,31.0,117.5,3.79
CANETA PILOT FINE VERM 0,7.0,26.6,3.8
CANETA PILOT FRIXION BAL,5.0,99.0,19.8
CANETA PILOT MEDIA AZUL,35.0,131.5,3.76
CANETA PILOT MEDIA PR M,21.0,79.2,3.77
CANETA PILOT MEDIA VERM,7.0,26.6,3.8
CANETA PONTA FINA TOK 10,6.0,78.0,13.0
CANETA QUE APAGA  FRIXIO,5.0,99.0,19.8
CANETA TRILUX AZUL FABER,12.0,19.2,1.6
CANETA UNICORNIO,1.0,8.5,8.5
CANETA WAVE CIS 4ML,5.0,46.3,9.26
CANETE CIS SPIRO 07MM SO,252.0,962.4,3.82
CANTETA BIC F ENEM,64.0,64.0,1.0
CONPACTOR HIDROGRAFICO C,2.0,27.0,13.5
MARC  QUADRO BRANCO PILO,1.0,10.8,10.8
MARC PILOT QUAD BCO C RE,5.0,86.0,17.2
MARC RET PROJ PIL 1.0P,3.0,28.5,9.5
MARC TEXTO CIS LUMI AZUL,2.0,7.0,3.5
MARCADOR 12C 10175 BOBG,69.0,310.5,4.5
MARCADOR CD E DVD 1.0 AZ,1.0,10.0,10.0
MARCADOR CD E DVD PILOTO,60.0,400.0,6.67
MARCADOR CD PONTA FINA 1,9.0,90.0,10.0
MARCADOR CD RETO PROJETO,7.0,31.5,4.5
MARCADOR CDXDVD PILOT 2.,11.0,72.4,6.58
MARCADOR PERMANENTE FC A,1.0,5.3,5.3
MARCADOR PERMANENTE PILO,15.0,101.9,6.79
MARCADOR PERMANENTE RADE,1.0,7.5,7.5
MARCADOR PERMANENTE RADE,1.0,7.5,7.5
MARCADOR PONTA DUPLA AZ,28.0,126.0,4.5
MARCADOR QUADRO BRANCO B,17.0,121.5,7.15
MARCADOR QUADRO BRANCO B,22.0,158.0,7.18
MARCADOR QUADRO BRANCO V,11.0,78.5,7.14
MARCADOR RETRO P.PILOT 1,3.0,28.5,9.5
MARCADOR RETRO PROGETOR,2.0,19.0,9.5
MARCADOR RETRO PROJETOR,31.0,144.0,4.65
MARCADOR RETRO PROJETOR1,87.0,535.6,6.16
MARCADOR RETRO PROJETOR2,73.0,448.2,6.14
MARCADOR RETRO PROJETOR3,14.0,86.6,6.19
MARCADOR TECIDO ACRILPEN,4.0,41.8,10.45
MARCADOR TECIDO AZ ACRIL,4.0,41.8,10.45
PINCEL ATOMICO BIC RECAR,28.0,126.0,4.5
PINCEL ATOMICO BIC RECAR,37.0,166.5,4.5
PINCEL ATOMICO BIC RECAR,16.0,72.0,4.5
