                                                       ITENS VENDIDOS NO PERIODO
 /04/2025  a  30/04/2025
  ----------------------------------------------------------------------------------------------------------------------------------
  Pedido|    NF/ECF    |Data      |Cliente                    |Descricao               |Qtidade   |Total Venda|Total Custo|Canc/Devo
  ----------------------------------------------------------------------------------------------------------------------------------
       0|              |          |      0-00                 |ABECEDARIO DIVERTIDO    |     1,000|       3,00|       0,00|     0,00
       0|              |          |      0-00                 |ABRACADEIRA 200X2,5MM PT|     1,000|      24,00|       0,00|    12,00
       0|              |          |      0-00                 |ADESIVOS DECORADOS AVENT|     1,000|       4,50|       0,00|     0,00
       0|              |          |      0-00                 |ADESIVOS DECORADOS PRINC|     1,000|       4,50|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA ESPIRAL PEPPER FE|     1,000|      22,50|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA PERMANENTE CLIFF |     1,000|      21,00|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA CARIMBO N3 PRET|     2,000|      26,00|       0,00|     0,00
       0|              |          |      0-00                 |ALUGA-SE TAMOIO         |     1,000|       0,60|       0,00|     0,00
       0|              |          |      0-00                 |AP C DEP BRW T PASTEL   |     2,000|       8,00|       0,00|     0,00
       0|              |          |      0-00                 |APAGADOR MAD QUADRO NEGR|     1,000|       3,00|       0,00|     0,00
       0|              |          |      0-00                 |APAGADOR MAD QUADRO NEGR|     1,000|       9,80|       0,00|     0,00
       0|              |          |      0-00                 |APONT C.DEP LEOLEO RET 4|     4,000|       8,00|       0,00|     0,00
       0|              |          |      0-00                 |APONT CLASS. LEOLEO META|     2,000|       2,60|       0,00|     0,00
       0|              |          |      0-00                 |APONT MAPEDE PULSE      |     1,000|       4,60|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR LEOELEO BLOCO |     5,000|      10,00|       0,00|     0,00
       0|              |          |      0-00                 |AVIAO TOK MT1431        |     1,000|       7,00|       0,00|     0,00
       0|              |          |      0-00                 |BABY FLOWER 4038        |     1,000|      29,50|       0,00|     0,00
       0|              |          |      0-00                 |BALDE PRAIA MT2168      |     1,000|      10,80|       0,00|     0,00
       0|              |          |      0-00                 |BAMBOLE                 |     3,000|      17,10|       0,00|     0,00
       0|              |          |      0-00                 |BARBANTE SISAL 70M      |     1,000|       8,20|       0,00|     0,00
       0|              |          |      0-00                 |BATERIA ELGIN           |     6,000|      26,00|       0,00|     0,00
       0|              |          |      0-00                 |BINDER CLIPS 15MM UNIDAD|    10,000|       7,00|       0,00|     0,00
