                                                       ITENS VENDIDOS NO PERIODO
 /02/2025  a  28/02/2025
  ----------------------------------------------------------------------------------------------------------------------------------
  Pedido|    NF/ECF    |Data      |Cliente                    |Descricao               |Qtidade   |Total Venda|Total Custo|Canc/Devo
  ----------------------------------------------------------------------------------------------------------------------------------
       0|              |          |      0-00                 |ABC DO ESTUDANTE        |     2,000|       2,00|       0,00|     0,00
       0|              |          |      0-00                 |ABECEDARIO DIVERTIDO    |     1,000|       3,00|       0,00|     0,00
       0|              |          |      0-00                 |ADESIVOS DECORADOS AVENT|     3,000|      13,50|       0,00|     0,00
       0|              |          |      0-00                 |AGEND ESTUD KIDEN MASC  |     4,000|      59,00|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA 2024 TOK OFFICE  |     1,000|      16,00|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA ESPIRAL PEPPER MA|     1,000|      22,50|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA EST KIDEN FEM    |     3,000|      45,00|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA JEANS            |     2,000|      46,00|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA PERM COST PEPPER |     1,000|      22,00|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA PERMANENTE CLIFF |     1,000|      21,00|       0,00|     0,00
       0|              |          |      0-00                 |ALFANUMERICO GG 36P5724 |     2,000|      34,00|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA CARIMBO PRETA G|     1,000|      17,50|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA P/CARIMBO BAZZE|     2,000|      20,00|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA P/CARIMBO BAZZE|     1,000|      10,00|       0,00|     0,00
       0|              |          |      0-00                 |ALUGA-SE TAMOIO         |     6,000|       3,40|       0,00|     0,00
       0|              |          |      0-00                 |AP C DEP BRW T PASTEL   |     2,000|       8,00|       0,00|     0,00
       0|              |          |      0-00                 |APONT  ESTRELA GOLLER   |     7,000|      17,50|       0,00|     0,00
       0|              |          |      0-00                 |APONT C.DEP LEOLEO RET 4|    17,000|      34,00|       0,00|     0,00
       0|              |          |      0-00                 |APONT LEOLEO RED        |    10,000|       5,00|       0,00|     0,00
       0|              |          |      0-00                 |APONT MAPEDE PULSE      |     7,000|      32,20|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR C DEPOSITO LEO|     8,000|      16,00|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR COM DEPOSITO F|    10,000|      58,00|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR LEO LEO BLOCO |    12,000|      24,00|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR LEOELEO BLOCO |    11,000|      22,00|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOS C DEP BRW     |    17,000|      17,00|       0,00|     0,00
       0|              |          |      0-00                 |APRENDA EM CASA LETRA CU|     1,000|       3,00|       0,00|     0,00
       0|              |          |      0-00                 |ARQ MORTO POL FACIL AM  |     4,000|      40,00|       0,00|     0,00
       0|              |          |      0-00                 |ARQ MORTO POLIONDA FACIL|     3,000|      30,00|       0,00|     0,00
       0|              |          |      0-00                 |ARQUIVO FACIL POL PTO   |     1,000|      10,00|       0,00|     0,00
       0|              |          |      0-00                 |AVENTAL ESC INFAN CRISTA|     1,000|      13,50|       0,00|     0,00
       0|              |          |      0-00                 |AVENTAL ESC INFAN JOY   |     2,000|      22,00|       0,00|     0,00
       0|              |          |      0-00                 |BALAO SAO ROQUE SORTIDO |     1,000|       8,90|       0,00|     0,00
       0|              |          |      0-00                 |BAMBOLE                 |    16,000|      91,20|       0,00|     0,00
       0|              |          |      0-00                 |BARBANTE EUROROMA 101M 4|     3,000|      19,50|       0,00|     0,00
       0|              |          |      0-00                 |BATERIA ELGIN           |     1,000|       4,50|       0,00|     0,00
       0|              |          |      0-00                 |BINOCULO TOK MT0562     |     1,000|       4,80|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO ANOT TOK 100F 1392|     1,000|       6,00|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO DE ANOTACAO NOTE F|     3,000|      23,60|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO NOT NEON R ADELB  |     1,000|       4,00|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO P MONTAR MT2333   |     1,000|       7,50|       0,00|     0,00
       0|              |          |      0-00                 |BLOCOS AUTO ADESIVOS    |     2,000|      12,00|       0,00|     0,00
       0|              |          |      0-00                 |BOBINA SIFLER 80X40     |     2,000|      15,80|       0,00|     0,00
       0|              |          |      0-00                 |BOBINA TERM 57X15 SILFER|     8,000|      26,00|       0,00|     0,00
       0|              |          |      0-00                 |BOBINA TERMICA PDV SILVE|     3,000|      12,90|       0,00|     0,00
       0|              |          |      0-00                 |BOLA DE ISOPOR 100MM    |     1,000|       4,30|       0,00|     0,00
       0|              |          |      0-00                 |BOLA DE ISOPOR 60MM     |     7,000|      11,90|       0,00|     0,00
       0|              |          |      0-00                 |BOLA PARA MONTAR MT0427 |     2,000|      18,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA PNO2               |     1,000|      18,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA STRMIX 5 GST811-817|     6,000|     132,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLBINA TERMICA 80X40 KP|     5,000|      40,00|       0,00|     0,00
  ----------------------------------------------------------------------------------------------------------------------------------

  Terca-Feira, 29 de Julho de 2025

                                                       ITENS VENDIDOS NO PERIODO
 /02/2025  a  28/02/2025
  ----------------------------------------------------------------------------------------------------------------------------------
  Pedido|    NF/ECF    |Data      |Cliente                    |Descricao               |Qtidade   |Total Venda|Total Custo|Canc/Devo
  ----------------------------------------------------------------------------------------------------------------------------------
       0|              |          |      0-00                 |BOLHA DE SABAO 50ML     |     1,000|       4,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLHA SABAO SORT T4F5175|     3,000|      14,40|       0,00|     0,00
       0|              |          |      0-00                 |BOLHAS DE SABAO ESPORTE |     1,000|       4,50|       0,00|     0,00
       0|              |          |      0-00                 |BOLINHAS PARA PISCINA   |    20,000|      20,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLSA SUPERBAT MI41411  |     1,000|      70,00|       0,00|     0,00
       0|              |          |      0-00                 |BONECA MULT MIX ANGEL   |     1,000|      11,00|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA  MERCUR FUN 282|     1,000|       3,00|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA BCA 60 LEO LEO |    22,000|      11,00|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA BRANCA GRANDE F|     1,000|       8,00|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA DIVERTIDA FANTA|     2,000|       4,00|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA FABER CASTELL T|    52,000|     220,90|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA HE40704        |     7,000|      16,10|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA HE40710 INTER P|    22,000|      44,00|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA HE4O705        |     4,000|       8,00|       0,00|     0,00
