                                                       ITENS VENDIDOS NO PERIODO
 /07/2025  a  29/07/2025
  ----------------------------------------------------------------------------------------------------------------------------------
  Pedido|    NF/ECF    |Data      |Cliente                    |Descricao               |Qtidade   |Total Venda|Total Custo|Canc/Devo
  ----------------------------------------------------------------------------------------------------------------------------------
       0|              |          |      0-00                 |ABC DO ESTUDANTE        |     1,000|       1,00|       0,00|     0,00
       0|              |          |      0-00                 |ADESIVOS DECORADOS AVENT|     2,000|       9,00|       0,00|     0,00
       0|              |          |      0-00                 |ALFINETE PARA MAPA 105 M|     1,000|       9,80|       0,00|     0,00
       0|              |          |      0-00                 |ALICATA UNHA INOX 26863 |     1,000|       7,50|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA CARIMBO N3 AZUL|     1,000|      13,00|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA CARIMBO N3 PRET|     1,000|      13,00|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA CARIMBO N3 VERM|     1,000|      13,00|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA CARIMBO PRETA G|     1,000|      17,50|       0,00|     0,00
       0|              |          |      0-00                 |ALUGA-SE TAMOIO         |     7,000|       4,20|       0,00|     0,00
       0|              |          |      0-00                 |AP C DEP BRW T PASTEL   |     2,000|       8,00|       0,00|     0,00
       0|              |          |      0-00                 |APAGADOR QUAD BRAN PR469|     2,000|      16,00|       0,00|     0,00
       0|              |          |      0-00                 |APONT C.DEP LEOLEO RET 4|     2,000|       4,00|       0,00|     0,00
       0|              |          |      0-00                 |APONT LEO&LEO DUPLO OVAL|     5,000|      14,00|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR COM DEPOSITO F|     2,000|      11,60|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR LEO LEO 4529  |     2,000|       1,20|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR LEOELEO BLOCO |     3,000|       6,00|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOS C DEP BRW     |     3,000|       3,00|       0,00|     0,00
       0|              |          |      0-00                 |APRENDA EM CASA LETRA E |     1,000|       4,50|       0,00|     0,00
       0|              |          |      0-00                 |APRENDA EM CASA PALAVRAS|     1,000|       4,50|       0,00|     0,00
       0|              |          |      0-00                 |BAMBOLE                 |     8,000|      52,60|       0,00|     5,38
       0|              |          |      0-00                 |BARALHO VAI VAI TRDIC C |     1,000|       9,00|       0,00|     0,00
       0|              |          |      0-00                 |BARBANTE EUROROMA 101M 4|     5,000|      32,50|       0,00|     0,00
       0|              |          |      0-00                 |BARBANTE SISAL 70M      |     1,000|      11,00|       0,00|     0,00
       0|              |          |      0-00                 |BATERIA ELGIN           |     5,000|      22,50|       0,00|     0,00
       0|              |          |      0-00                 |BEBEDOR MT2456          |     5,000|      32,50|       0,00|     0,00
       0|              |          |      0-00                 |BINDER CLIPS GOLLER 19MM|     7,000|       4,90|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO ADELB AUTO ADES 38|     2,000|      14,00|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO MONT MATRIX       |     1,000|      11,50|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO P MONTAR MT2333   |     1,000|       8,50|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO PAPEL MILIMETRADO |     2,000|      29,00|       0,00|     0,00
       0|              |          |      0-00                 |BOBBIE GOODS AZUL       |     1,000|      52,50|       0,00|     0,00
       0|              |          |      0-00                 |BOBBIE GOODS ROSA       |     1,000|      52,50|       0,00|     0,00
       0|              |          |      0-00                 |BOBINA TERM 57X15 SILFER|     7,000|      22,75|       0,00|     0,00
       0|              |          |      0-00                 |BOBINA TERMICA PDV SILVE|     5,000|      21,50|       0,00|     0,00
       0|              |          |      0-00                 |BOLA DE ISOPOR 100MM    |     2,000|      10,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA DE ISOPOR 200MM    |     3,000|      45,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA DE ISOPOR 60MM     |     1,000|       1,90|       0,00|     0,00
       0|              |          |      0-00                 |BOLA G SP811/817        |     4,000|      92,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA ISOPOR 25MM KNAUF  |    10,000|       5,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA PNO2               |     3,000|      54,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA QB SPLASH 2PC R-229|     1,000|      12,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA VINIL HEROIS 8355  |     1,000|      16,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA VINIL PLAST GANDULA|     1,000|      19,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA VINILPLAS CONFETE  |     2,000|      17,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA VINILPLAS N9 C/TX 5|     1,000|       9,50|       0,00|     0,00
       0|              |          |      0-00                 |BOLA VOLEI              |     1,000|      23,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA VOLEY              |     1,000|      26,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLBINA TERMICA 80X40 KP|    12,000|      96,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLINHAS PARA PISCINA   |    23,000|      27,60|       0,00|     0,00
       0|              |          |      0-00                 |BOLSA                   |     3,000|      75,00|       0,00|     0,00
  ----------------------------------------------------------------------------------------------------------------------------------

  Terca-Feira, 29 de Julho de 2025

                                                       ITENS VENDIDOS NO PERIODO
 /07/2025  a  29/07/2025
  ----------------------------------------------------------------------------------------------------------------------------------
  Pedido|    NF/ECF    |Data      |Cliente                    |Descricao               |Qtidade   |Total Venda|Total Custo|Canc/Devo
  ----------------------------------------------------------------------------------------------------------------------------------
       0|              |          |      0-00                 |BONECA  C ACESSO LINA MT|     1,000|      12,00|       0,00|     0,00
       0|              |          |      0-00                 |BONECA AS DITINHAS PT   |     1,000|      38,00|       0,00|     0,00
       0|              |          |      0-00                 |BONECA MT2457 LINA      |     2,000|      27,00|       0,00|     0,00
       0|              |          |      0-00                 |BONECA MULT MIX ANGEL   |     3,000|      26,50|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA BRANCA GRANDE F|     1,000|       8,00|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA DIVERTIDA FANTA|     1,000|       2,00|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA FABER CASTELL T|     3,000|      12,90|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA HE40704        |     1,000|       2,30|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA HE40710 INTER P|     5,000|      10,00|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA HE4O705        |     1,000|       2,00|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA LEO LEO COLOR  |     3,000|       5,10|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA MC KIDS 40     |     7,000|       7,00|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA MC QUAD N60    |     4,000|       4,00|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA MC TR OVAL SORT|     1,000|       2,80|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA MERCUR 40 QUADR|     1,000|       1,25|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA MERCUR CLEAN CO|     3,000|       7,50|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA MERCUR CLEAN CO|     7,000|      17,50|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA MERCUR DUAS COR|     1,000|       1,50|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA MIX POUCO FAREL|     1,000|       3,00|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA PONT BRANCA MER|     4,000|       2,40|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA PONTEIRA MERCUR|    21,000|       8,40|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA RECOR MERCU    |     1,000|       1,80|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA TR18           |     2,000|       9,60|       0,00|     2,92
       0|              |          |      0-00                 |BRINCANDO DE COLORIR    |     6,000|      12,00|       0,00|     0,00
       0|              |          |      0-00                 |BRINDER CLIPS 32MM      |     1,000|       2,00|       0,00|     0,00
       0|              |          |      0-00                 |C M ALFI                |     1,000|       5,00|       0,00|     0,00
       0|              |          |      0-00                 |CACAMBA KRAFT BQ4001S   |     2,000|      60,00|       0,00|     0,00
       0|              |          |      0-00                 |CAD 1/4 BROCH LA FADINNE|     2,000|      26,00|       0,00|     0,00
       0|              |          |      0-00                 |CAD 1X4 BROC JAND FEM 48|     1,000|       7,50|       0,00|     0,00
       0|              |          |      0-00                 |CAD CART BASIC ART CD 96|     3,000|      70,00|       0,00|    17,50
       0|              |          |      0-00                 |CAD CD 1X4 FAST 200F    |     1,000|      14,00|       0,00|     0,00
       0|              |          |      0-00                 |CAD CD 1X4 MAIS + 96FRS |     1,000|       8,50|       0,00|     0,00
       0|              |          |      0-00                 |CAD CD 1X8 LIBERTY 80F  |     2,000|      18,00|       0,00|     0,00
       0|              |          |      0-00                 |CAD CD 48F VERM JAND    |     1,000|       6,50|       0,00|     0,00
