                                                       ITENS VENDIDOS NO PERIODO
 /06/2025  a  30/06/2025
  ----------------------------------------------------------------------------------------------------------------------------------
  Pedido|    NF/ECF    |Data      |Cliente                    |Descricao               |Qtidade   |Total Venda|Total Custo|Canc/Devo
  ----------------------------------------------------------------------------------------------------------------------------------
       0|              |          |      0-00                 |ALFINETE PARA MAPA 105 M|     1,000|       9,80|       0,00|     0,00
       0|              |          |      0-00                 |ALICATA UNHA INOX 26863 |     1,000|       7,50|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA CARIMBO N3 AZUL|     2,000|      26,00|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA CARIMBO N3 PRET|     1,000|      13,00|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA CARIMBO PRETA G|     2,000|      35,00|       0,00|     0,00
       0|              |          |      0-00                 |ALUGA-SE TAMOIO         |     1,000|       0,60|       0,00|     0,00
       0|              |          |      0-00                 |AP BB BIC COMFORT3      |     1,000|       5,50|       0,00|     0,00
       0|              |          |      0-00                 |AP C DEP BRW T PASTEL   |     2,000|       8,00|       0,00|     0,00
       0|              |          |      0-00                 |APAGADOR QUAD BRAN PR469|     1,000|       8,00|       0,00|     0,00
       0|              |          |      0-00                 |APONT  ESTRELA GOLLER   |     1,000|       2,50|       0,00|     0,00
       0|              |          |      0-00                 |APONT C.DEP LEOLEO RET 4|     4,000|       8,00|       0,00|     0,00
       0|              |          |      0-00                 |APONT CLASS. LEOLEO META|     5,000|       6,50|       0,00|     0,00
       0|              |          |      0-00                 |APONT LEO&LEO DUPLO OVAL|     2,000|       5,60|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR COM DEPOSITO F|     2,000|      11,60|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR LEO LEO 4529  |     5,000|       3,00|       0,00|     0,00
       0|              |          |      0-00                 |APRENDA EM CASA LETRA CU|     2,000|       6,00|       0,00|     0,00
       0|              |          |      0-00                 |APRENDA EM CASA LETRA E |     1,000|       4,50|       0,00|     0,00
       0|              |          |      0-00                 |APRENDA EM CASA PALAVRAS|     1,000|       2,80|       0,00|     0,00
       0|              |          |      0-00                 |ARQ MORTO POL FACIL AZ  |     3,000|      30,00|       0,00|     0,00
       0|              |          |      0-00                 |ARQ MORTO POLIONDA FACIL|     1,000|      10,00|       0,00|     0,00
       0|              |          |      0-00                 |B0NECA TCHUCHUCA BABY 98|     1,000|      35,00|       0,00|     0,00
       0|              |          |      0-00                 |BALAO  METAL 4 40CM PRAT|     1,000|       5,00|       0,00|     0,00
       0|              |          |      0-00                 |BALAO JUNINO TRAD 20CM P|     3,000|      19,50|       0,00|     0,00
       0|              |          |      0-00                 |BALAO METALIZADO 4      |     1,000|      13,80|       0,00|     0,00
       0|              |          |      0-00                 |BALDE PRAIA MT2168      |     1,000|      10,80|       0,00|     0,00
       0|              |          |      0-00                 |BAMBOLE                 |     6,000|      34,80|       0,00|     0,00
       0|              |          |      0-00                 |BANDEIROLA COLORIDA     |     8,000|      40,40|       0,00|     0,00
       0|              |          |      0-00                 |BANDEROLAS ESTAMP P10M 4|     2,000|      10,00|       0,00|     0,00
       0|              |          |      0-00                 |BARALHO DIAMOND         |     1,000|      11,80|       0,00|     0,00
       0|              |          |      0-00                 |BARBANTE EUROROMA 101M 4|     3,000|      19,50|       0,00|     0,00
       0|              |          |      0-00                 |BATERIA ELGIN           |     3,000|      13,50|       0,00|     0,00
       0|              |          |      0-00                 |BEBEDOR MT2456          |     2,000|      13,00|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO ADELB AUTO ADES 38|     1,000|       7,00|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO PEDIDO C COPIA 1X1|     3,000|      12,50|       0,00|     0,00
       0|              |          |      0-00                 |BOBINA TERM 57X15 SILFER|    13,000|      42,25|       0,00|     0,00
       0|              |          |      0-00                 |BOBINA TERMICA PDV SILVE|     5,000|      21,50|       0,00|     0,00
       0|              |          |      0-00                 |BOLA DE ISOPOR 100MM    |     1,000|       5,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA DE ISOPOR 150MM    |     2,000|      19,60|       0,00|     0,00
       0|              |          |      0-00                 |BOLA DE ISOPOR 60MM     |     1,000|       1,90|       0,00|     0,00
       0|              |          |      0-00                 |BOLA G SP811/817        |     1,000|      23,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA PNO2               |     3,000|      54,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA VINILPLAS N9 C/TX 5|     1,000|       9,50|       0,00|     0,00
       0|              |          |      0-00                 |BOLBINA TERMICA 80X40 KP|     6,000|      48,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLHA DE SABAO 50ML     |     1,000|       4,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLHA DE SABAO 60ML 1070|     1,000|       4,00|       0,00|     0,00
