                                                       ITENS VENDIDOS NO PERIODO
 /03/2025  a  31/03/2025
  ----------------------------------------------------------------------------------------------------------------------------------
  Pedido|    NF/ECF    |Data      |Cliente                    |Descricao               |Qtidade   |Total Venda|Total Custo|Canc/Devo
  ----------------------------------------------------------------------------------------------------------------------------------
       0|              |          |      0-00                 |ABECEDARIO DIVERTIDO    |     3,000|       9,00|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA PERMANENTE CLIFF |     1,000|      21,00|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA CARIMBO N3 AZUL|     2,000|      26,00|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA CARIMBO N3 PRET|     2,000|      26,00|       0,00|     0,00
       0|              |          |      0-00                 |ALUGA-SE TAMOIO         |     5,000|       3,00|       0,00|     0,00
       0|              |          |      0-00                 |ANIMAL SURP MT 2347     |     1,000|       8,50|       0,00|     0,00
       0|              |          |      0-00                 |APAGADOR MAD QUADRO NEGR|     3,000|       9,00|       0,00|     0,00
       0|              |          |      0-00                 |APAGADOR QUAD BRAN PR469|     1,000|       8,00|       0,00|     0,00
       0|              |          |      0-00                 |APONT C.DEP LEOLEO RET 4|     8,000|      16,00|       0,00|     0,00
       0|              |          |      0-00                 |APONT CLASS. LEOLEO META|     1,000|       1,30|       0,00|     0,00
       0|              |          |      0-00                 |APONT LEOLEO RED        |     1,000|       0,50|       0,00|     0,00
       0|              |          |      0-00                 |APONT MAPEDE PULSE      |     3,000|      13,80|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR COM DEPOSITO F|     3,000|      17,40|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR LEOELEO BLOCO |    11,000|      22,00|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR SIMPLES 637 CI|     1,000|       0,60|       0,00|     0,00
       0|              |          |      0-00                 |APRENDA EM CASA LETRA CU|     3,000|       9,00|       0,00|     0,00
       0|              |          |      0-00                 |AVENTAL ESC INFAN CRISTA|     1,000|      13,50|       0,00|     0,00
       0|              |          |      0-00                 |AVIAO FRICCAO PLAST     |     1,000|       6,00|       0,00|     0,00
       0|              |          |      0-00                 |AVIAO VAI E VOLTA       |     1,000|       9,50|       0,00|     0,00
       0|              |          |      0-00                 |BALDINHO  PRAIA  14CM CO|     1,000|       8,50|       0,00|     0,00
       0|              |          |      0-00                 |BAMBOLE                 |     2,000|      11,40|       0,00|     0,00
       0|              |          |      0-00                 |BANHEIRA SOLAPA 233     |     1,000|       8,00|       0,00|     0,00
       0|              |          |      0-00                 |BARALHO 139 COPAG       |     1,000|      27,50|       0,00|     0,00
       0|              |          |      0-00                 |BARALHO COPAG 139NG     |     1,000|      26,00|       0,00|     0,00
       0|              |          |      0-00                 |BARBANTE ALGODAO 550M VO|     1,000|      26,00|       0,00|     0,00
       0|              |          |      0-00                 |BARBANTE EUROROMA 101M 4|     2,000|      13,00|       0,00|     0,00
       0|              |          |      0-00                 |BARBANTE SISAL 70M      |     1,000|       8,20|       0,00|     0,00
       0|              |          |      0-00                 |BATEDEIRA TOPI          |     1,000|      19,00|       0,00|     0,00
       0|              |          |      0-00                 |BATERIA ELGIN           |     8,000|      34,00|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO DE ANOTACAO NOTE F|     2,000|      17,60|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO P MONTAR MT2333   |     2,000|      17,00|       0,00|     0,00
