                                                       ITENS VENDIDOS NO PERIODO
 /05/2025  a  31/05/2025
  ----------------------------------------------------------------------------------------------------------------------------------
  Pedido|    NF/ECF    |Data      |Cliente                    |Descricao               |Qtidade   |Total Venda|Total Custo|Canc/Devo
  ----------------------------------------------------------------------------------------------------------------------------------
       0|              |          |      0-00                 |ABRACADEIRA             |     2,000|       3,00|       0,00|     0,00
       0|              |          |      0-00                 |ADESIVOS DECORADOS AVENT|     2,000|       9,00|       0,00|     0,00
       0|              |          |      0-00                 |ADESIVOS DECORADOS PRINC|     2,000|       9,00|       0,00|     0,00
       0|              |          |      0-00                 |ALFINETE JOCAR MAPA 50P |     4,000|      18,00|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA CARIMBO N3 AZUL|     2,000|      26,00|       0,00|     0,00
       0|              |          |      0-00                 |ALUGA-SE TAMOIO         |     7,000|       4,20|       0,00|     0,00
       0|              |          |      0-00                 |AP C DEP BRW T PASTEL   |     3,000|      12,00|       0,00|     0,00
       0|              |          |      0-00                 |APAGADOR MAD QUADRO NEGR|     1,000|       3,00|       0,00|     0,00
       0|              |          |      0-00                 |APAGADOR PARA Q BRANCO  |     1,000|      10,00|       0,00|     0,00
       0|              |          |      0-00                 |APAGADOR QUAD BRAN PR469|     1,000|       8,00|       0,00|     0,00
       0|              |          |      0-00                 |APONT C.DEP LEOLEO RET 4|     4,000|       8,00|       0,00|     0,00
       0|              |          |      0-00                 |APONT CLASS. LEOLEO META|     1,000|       1,30|       0,00|     0,00
       0|              |          |      0-00                 |APONT MAPEDE PULSE      |     1,000|       4,60|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR COM DEPOSITO F|     2,000|      11,60|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR LEO LEO 4529  |     3,000|       1,80|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR LEOELEO BLOCO |     1,000|       2,00|       0,00|     0,00
       0|              |          |      0-00                 |APRENDA EM CASA LETRA CU|     2,000|       6,00|       0,00|     0,00
       0|              |          |      0-00                 |ARCO E FLEHA MT0320     |     1,000|       9,00|       0,00|     0,00
       0|              |          |      0-00                 |BAMBOLE                 |     8,000|      46,20|       0,00|     0,00
       0|              |          |      0-00                 |BARBANTE ALGODAO 550M VO|     1,000|      26,00|       0,00|     0,00
       0|              |          |      0-00                 |BARBANTE EUROROMA 101M 4|     6,000|      38,00|       0,00|     0,00
       0|              |          |      0-00                 |BARBANTE SISAL 70M      |     1,000|       8,20|       0,00|     0,00
       0|              |          |      0-00                 |BATERIA ELGIN           |    10,000|      42,00|       0,00|     0,00
       0|              |          |      0-00                 |BINDER CLIPS GOLLER 19MM|    40,000|      28,00|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO ADESIVO 76X76     |     2,000|      12,00|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO ADESIVO MAE       |     1,000|      12,50|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO DE ANOTACAO NOTE F|     4,000|      35,20|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO PEDIDO C COPIA 1X1|     4,000|      16,00|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO PEDIDO S COPIA1X36|     8,000|      20,00|       0,00|     0,00
       0|              |          |      0-00                 |BOBBIE GOODS AZUL       |     1,000|      60,00|       0,00|     0,00
       0|              |          |      0-00                 |BOBBIE GOODS ROSA       |     1,000|      60,00|       0,00|     0,00
       0|              |          |      0-00                 |BOBINA TERM 57X15 SILFER|     9,000|      29,25|       0,00|     0,00
       0|              |          |      0-00                 |BOBINA TERMICA PDV SILVE|     2,000|      12,90|       0,00|     4,30
       0|              |          |      0-00                 |BOKA MALUKA             |     1,000|       9,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA CANARINHO          |     1,000|      18,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA COLOR ART BRINK    |     1,000|       8,50|       0,00|     0,00
       0|              |          |      0-00                 |BOLA DE ISOPOR 100MM    |     1,000|      10,00|       0,00|     5,00
       0|              |          |      0-00                 |BOLA DE ISOPOR 150MM    |     3,000|      26,60|       0,00|     0,00
       0|              |          |      0-00                 |BOLA DE VOLEI ELF0108   |     2,000|      52,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA G SP811/817        |     3,000|      69,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA SABAO KIDS         |     1,000|       4,50|       0,00|     0,00
       0|              |          |      0-00                 |BOLA VINILPLAS CONFETE  |     7,000|      58,50|       0,00|     0,00
       0|              |          |      0-00                 |BOLA VINILPLAS N9 C/TX 5|     4,000|      37,50|       0,00|     0,00
       0|              |          |      0-00                 |BOLAS CONDOR MASTER     |     1,000|       8,50|       0,00|     0,00
       0|              |          |      0-00                 |BOLBINA TERMICA 80X40 KP|     4,000|      32,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLHA DE SABAO 50ML     |     3,000|      20,00|       0,00|     8,00
       0|              |          |      0-00                 |BOLHA SABAO SORT T4F5175|     2,000|       9,60|       0,00|     0,00
       0|              |          |      0-00                 |BOLINHAS PARA PISCINA   |     5,000|       5,00|       0,00|     0,00
       0|              |          |      0-00                 |BONECA GGB SEREIA 382   |     3,000|      28,50|       0,00|     0,00
       0|              |          |      0-00                 |BONECA MT2457 LINA      |     2,000|      27,00|       0,00|     0,00
  ----------------------------------------------------------------------------------------------------------------------------------

  Terca-Feira, 29 de Julho de 2025

                                                       ITENS VENDIDOS NO PERIODO
 /05/2025  a  31/05/2025
  ----------------------------------------------------------------------------------------------------------------------------------
  Pedido|    NF/ECF    |Data      |Cliente                    |Descricao               |Qtidade   |Total Venda|Total Custo|Canc/Devo
  ----------------------------------------------------------------------------------------------------------------------------------
       0|              |          |      0-00                 |BONECA NICINHA XIXI     |     1,000|      38,00|       0,00|     0,00
       0|              |          |      0-00                 |BONECA SUPRESINHA       |     1,000|      10,00|       0,00|     0,00
       0|              |          |      0-00                 |BONECO ASTRO MT2375     |     1,000|      12,50|       0,00|     0,00
       0|              |          |      0-00                 |BONECO MILITAR MT2013   |     1,000|      12,50|       0,00|     0,00
       0|              |          |      0-00                 |BONECOS SOLDADOS C/ 10 A|     1,000|       5,00|       0,00|     0,00
       0|              |          |      0-00                 |BONEQUINHA DOS SONHOS   |     1,000|      10,00|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA  MERCUR FUN 282|     2,000|       6,00|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA FABER CASTELL T|     5,000|      21,50|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA HE40710 INTER P|     2,000|       4,00|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA HE4O705        |     1,000|       2,00|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA MC KIDS 40     |     4,000|       4,00|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA MC QUAD N60    |     1,000|       1,00|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA MC TR OVAL SORT|     2,000|       5,60|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA MERCUR CLEAN CO|     1,000|       2,50|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA MERCUR CLEAN CO|     3,000|       7,50|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA MERCUR DUAS COR|     4,000|       5,20|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA MERCUR FLASH   |     2,000|       3,80|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA PONTEIRA MERCUR|     6,000|       2,10|       0,00|     0,00
       0|              |          |      0-00                 |BORRACHA RECOR MERCU    |     2,000|       3,60|       0,00|     0,00
       0|              |          |      0-00                 |BRINCADO APR. NUMEROS   |     2,000|      27,80|       0,00|     0,00
       0|              |          |      0-00                 |BRINCANDO APREND LETRAS |     2,000|      27,80|       0,00|     0,00
       0|              |          |      0-00                 |BRINCANDO COM OS ANIMAIS|     1,000|      13,00|       0,00|     0,00
       0|              |          |      0-00                 |BRINCANDO DE COLORIR    |    24,000|      48,00|       0,00|     0,00
       0|              |          |      0-00                 |C M ALFI                |     3,000|      15,00|       0,00|     0,00
