                                                       ITENS VENDIDOS NO PERIODO
 /01/2025  a  31/07/2025
  ----------------------------------------------------------------------------------------------------------------------------------
  Pedido|    NF/ECF    |Data      |Cliente                    |Descricao               |Qtidade   |Total Venda|Total Custo|Canc/Devo
  ----------------------------------------------------------------------------------------------------------------------------------
       0|              |          |      0-00                 |ABC DO ESTUDANTE        |     5,000|       5,00|       0,00|     0,00
       0|              |          |      0-00                 |ABECEDARIO DIVERTIDO    |     6,000|      18,00|       0,00|     0,00
       0|              |          |      0-00                 |ABRACADEIRA             |     2,000|       3,00|       0,00|     0,00
       0|              |          |      0-00                 |ABRACADEIRA 200X2,5MM PT|     1,000|      24,00|       0,00|    12,00
       0|              |          |      0-00                 |ACRIPEN P TECIDO VERDE M|     1,000|      10,30|       0,00|     0,00
       0|              |          |      0-00                 |ADESIVOS DECORADOS AVENT|     8,000|      36,00|       0,00|     0,00
       0|              |          |      0-00                 |ADESIVOS DECORADOS PRINC|     4,000|      18,00|       0,00|     0,00
       0|              |          |      0-00                 |AGEND ESTUD KIDEN MASC  |     4,000|      59,00|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA 2024 TOK OFFICE  |     2,000|      32,00|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA 2025 A6 LISA RMT1|     1,000|      14,80|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA 2025 TB PT M6 354|     2,000|      60,00|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA BROCHURA PEPPER 2|     2,000|      46,00|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA COSTURADA PEPER P|     3,000|      69,00|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA ESPIRAL PEPPER FE|     2,000|      45,00|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA ESPIRAL PEPPER MA|     1,000|      22,50|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA ESPIRAL PEPPER PT|     3,000|      69,00|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA EST KIDEN FEM    |     3,000|      45,00|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA JEANS            |     5,000|     115,00|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA PERM COST PEPPER |     1,000|      22,00|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA PERMANENTE CLIFF |     3,000|      63,00|       0,00|     0,00
       0|              |          |      0-00                 |ALFANUMERICO GG 36P5724 |     3,000|      51,00|       0,00|     0,00
       0|              |          |      0-00                 |ALFINETE JOCAR MAPA 50P |     4,000|      18,00|       0,00|     0,00
       0|              |          |      0-00                 |ALFINETE PARA MAPA 105 M|     2,000|      19,60|       0,00|     0,00
       0|              |          |      0-00                 |ALICATA UNHA INOX 26863 |     2,000|      15,00|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA CARIMBO N3 AZUL|     7,000|      91,00|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA CARIMBO N3 PRET|     6,000|      78,00|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA CARIMBO N3 VERM|     1,000|      13,00|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA CARIMBO PRETA G|     4,000|      70,00|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA P/CARIMBO BAZZE|     3,000|      30,00|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA P/CARIMBO BAZZE|     2,000|      20,00|       0,00|     0,00
       0|              |          |      0-00                 |ALUGA-SE TAMOIO         |    38,000|      22,60|       0,00|     0,00
       0|              |          |      0-00                 |ANIMAL SURP MT 2347     |     1,000|       8,50|       0,00|     0,00
       0|              |          |      0-00                 |AP BB BIC COMFORT3      |     1,000|       5,50|       0,00|     0,00
       0|              |          |      0-00                 |AP C DEP BRW T PASTEL   |    11,000|      44,00|       0,00|     0,00
       0|              |          |      0-00                 |APAGADOR BRW PAST       |     1,000|      10,00|       0,00|     0,00
       0|              |          |      0-00                 |APAGADOR MAD QUADRO NEGR|     5,000|      15,00|       0,00|     0,00
       0|              |          |      0-00                 |APAGADOR MAD QUADRO NEGR|     1,000|       9,80|       0,00|     0,00
       0|              |          |      0-00                 |APAGADOR PARA Q BRANCO  |     1,000|      10,00|       0,00|     0,00
       0|              |          |      0-00                 |APAGADOR QUAD BRAN PR469|     6,000|      48,00|       0,00|     0,00
       0|              |          |      0-00                 |APONT  ESTRELA GOLLER   |     8,000|      20,00|       0,00|     0,00
       0|              |          |      0-00                 |APONT C DEP MAPED 2FUROS|     1,000|       8,50|       0,00|     0,00
       0|              |          |      0-00                 |APONT C.DEP LEOLEO RET 4|    63,000|     126,00|       0,00|     0,00
       0|              |          |      0-00                 |APONT CLASS. LEOLEO META|    11,000|      14,30|       0,00|     0,00
       0|              |          |      0-00                 |APONT LEO&LEO DUPLO OVAL|     7,000|      19,60|       0,00|     0,00
       0|              |          |      0-00                 |APONT LEOLEO RED        |    13,000|       6,50|       0,00|     0,00
       0|              |          |      0-00                 |APONT MAPEDE PULSE      |    12,000|      55,20|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR C DEPOSITO LEO|    11,000|      22,00|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR COM DEPOSITO F|    20,000|     116,00|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR LEO LEO 4529  |    10,000|       6,00|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR LEO LEO BLOCO |    17,000|      32,00|       0,00|     0,00
  ----------------------------------------------------------------------------------------------------------------------------------

  Terca-Feira, 29 de Julho de 2025

                                                       ITENS VENDIDOS NO PERIODO
 /01/2025  a  31/07/2025
  ----------------------------------------------------------------------------------------------------------------------------------
  Pedido|    NF/ECF    |Data      |Cliente                    |Descricao               |Qtidade   |Total Venda|Total Custo|Canc/Devo
  ----------------------------------------------------------------------------------------------------------------------------------
       0|              |          |      0-00                 |APONTADOR LEOELEO BLOCO |    31,000|      62,00|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR SIMPLES 637 CI|     1,000|       0,60|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOS C DEP BRW     |    20,000|      20,00|       0,00|     0,00
       0|              |          |      0-00                 |APRENDA EM CASA LETRA CU|    10,000|      30,00|       0,00|     0,00
       0|              |          |      0-00                 |APRENDA EM CASA LETRA E |     2,000|       9,00|       0,00|     0,00
       0|              |          |      0-00                 |APRENDA EM CASA PALAVRAS|     2,000|       7,30|       0,00|     0,00
       0|              |          |      0-00                 |ARCO E FLEHA MT0320     |     1,000|       9,00|       0,00|     0,00
       0|              |          |      0-00                 |ARQ MORTO POL FACIL AM  |     4,000|      40,00|       0,00|     0,00
       0|              |          |      0-00                 |ARQ MORTO POL FACIL AZ  |     3,000|      30,00|       0,00|     0,00
       0|              |          |      0-00                 |ARQ MORTO POLIONDA FACIL|     6,000|      60,00|       0,00|     0,00
       0|              |          |      0-00                 |ARQUIVO FACIL POL PTO   |     1,000|      10,00|       0,00|     0,00
       0|              |          |      0-00                 |AVENTAL ESC INFAN CRISTA|     3,000|      40,50|       0,00|     0,00
       0|              |          |      0-00                 |AVENTAL ESC INFAN JOY   |     4,000|      44,00|       0,00|     0,00
       0|              |          |      0-00                 |AVIAO FRICCAO PLAST     |     1,000|       6,00|       0,00|     0,00
       0|              |          |      0-00                 |AVIAO TOK MT1431        |     2,000|      14,00|       0,00|     0,00
       0|              |          |      0-00                 |AVIAO VAI E VOLTA       |     2,000|      19,00|       0,00|     0,00
       0|              |          |      0-00                 |B0NECA TCHUCHUCA BABY 98|     1,000|      35,00|       0,00|     0,00
       0|              |          |      0-00                 |BABY EDUCATIVO KENDY    |     1,000|      16,00|       0,00|     0,00
       0|              |          |      0-00                 |BABY FLOWER 4038        |     1,000|      29,50|       0,00|     0,00
       0|              |          |      0-00                 |BALAO  METAL 4 40CM PRAT|     1,000|       5,00|       0,00|     0,00
       0|              |          |      0-00                 |BALAO JUNINO TRAD 20CM P|     3,000|      19,50|       0,00|     0,00
       0|              |          |      0-00                 |BALAO METALIZADO 4      |     1,000|      13,80|       0,00|     0,00
       0|              |          |      0-00                 |BALAO SAO ROQUE  C/50 VE|     1,000|       8,90|       0,00|     0,00
       0|              |          |      0-00                 |BALAO SAO ROQUE SORTIDO |     1,000|       8,90|       0,00|     0,00
       0|              |          |      0-00                 |BALDE PRAIA MT2168      |     2,000|      21,60|       0,00|     0,00
       0|              |          |      0-00                 |BALDINHO  PRAIA  14CM CO|     1,000|       8,50|       0,00|     0,00
       0|              |          |      0-00                 |BAMBOLE                 |    45,000|     264,50|       0,00|     5,38
       0|              |          |      0-00                 |BANDEIROLA COLORIDA     |     8,000|      40,40|       0,00|     0,00
       0|              |          |      0-00                 |BANDEROLAS ESTAMP P10M 4|     2,000|      10,00|       0,00|     0,00
       0|              |          |      0-00                 |BANHEIRA SOLAPA 233     |     1,000|       8,00|       0,00|     0,00
       0|              |          |      0-00                 |BARALHO 139 COPAG       |     1,000|      27,50|       0,00|     0,00
       0|              |          |      0-00                 |BARALHO COPAG 139NG     |     1,000|      26,00|       0,00|     0,00
       0|              |          |      0-00                 |BARALHO DIAMOND         |     1,000|      11,80|       0,00|     0,00
       0|              |          |      0-00                 |BARALHO VAI VAI TRDIC C |     1,000|       9,00|       0,00|     0,00
       0|              |          |      0-00                 |BARBANTE ALGODAO 550M VO|     2,000|      52,00|       0,00|     0,00
