Descricao,Quantidade,TotalVenda,PrecoUnitario
CAN FA,12.0,20.0,1.67
CANETA BIC 4 CORES,7.0,67.7,9.67
CANETA BIC CELEBRATION A,3.0,20.1,6.7
CANETA BIC CRISTAL 1.6 A,9.0,19.8,2.2
CANETA BIC CRISTAL 1.6 P,10.0,22.0,2.2
CANETA BIC CRISTAL AZ,102.0,122.2,1.2
CANETA BIC CRISTAL ESCRI,102.0,102.0,1.0
CANETA BIC CRISTAL ESCRIT,50.0,50.0,1.0
CANETA BIC CRISTAL ESCRITO,36.0,36.0,1.0
CANETA BIC CRISTAL PRETA,86.0,103.2,1.2
CANETA BIC CRISTAL ULTRA,13.0,22.1,1.7
CANETA BIC CRISTAL ULTRAA,13.0,22.1,1.7
CANETA BIC CRISTAL ULTRA1,4.0,6.8,1.7
CANETA BIC CRISTAL UP SO,4.0,8.0,2.0
CANETA BIC CRISTAL VERDE,17.0,20.4,1.2
CANETA BIC CRISTAL VERME,48.0,57.6,1.2
CANETA BIC SHIMMERS FASH,14.0,31.9,2.28
CANETA COMP ECONOMIC PRE,1.0,1.0,1.0
CANETA COMPACTOR  07 VER,7.0,9.8,1.4
CANETA COMPACTOR 07 AZUL,6.0,6.8,1.13
CANETA COMPACTOR 07 PRET,6.0,7.2,1.2
CANETA COMPACTOR 07 VERM,1.0,1.2,1.2
CANETA COMPACTOR ECONOMI,2.0,2.0,1.0
CANETA COMPACTOR MICROLI,10.0,50.0,5.0
CANETA COMPACTOR MICROLI,6.0,29.0,4.83
CANETA COMPACTOR MICROLI,6.0,30.0,5.0
CANETA COMPACTOR TOP 200,15.0,15.0,1.0
CANETA CORRETIVA FRAMA P,1.0,4.5,4.5
CANETA CORRETIVO BRW 9ML,3.0,21.0,7.0
CANETA ESFEROG GEL TREND,2.0,6.8,3.4
CANETA FABER CASTELL PRE,3.0,5.1,1.7
CANETA HID FC 12,3.0,41.5,13.83
CANETA HIDROGRAFICA LEO,1.0,8.8,8.8
CANETA PILOT FINE AZ 07,9.0,32.1,3.57
CANETA PILOT FINE PRE 07,9.0,34.2,3.8
CANETA PILOT FINE VERM 0,2.0,7.6,3.8
CANETA PILOT FRIXION BAL,2.0,39.6,19.8
CANETA PILOT MEDIA AZUL,8.0,28.9,3.61
CANETA PILOT MEDIA PR M,5.0,19.0,3.8
CANETA PILOT MEDIA VERM,2.0,7.6,3.8
CANETA PONTA FINA TOK 10,2.0,26.0,13.0
CANETA QUE APAGA  FRIXIO,1.0,19.8,19.8
CANETA TRILUX AZUL FABER,5.0,8.0,1.6
CANETA WAVE CIS 4ML,3.0,27.6,9.2
CANETE CIS SPIRO 07MM SO,94.0,356.1,3.79
CANTETA BIC F ENEM,31.0,31.0,1.0
CONPACTOR HIDROGRAFICO C,2.0,27.0,13.5
MARC TEXTO CIS LUMI AZUL,1.0,3.5,3.5
MARCADOR CD E DVD PILOTO,7.0,45.5,6.5
MARCADOR CD PONTA FINA 1,2.0,20.0,10.0
MARCADOR PERMANENTE PILO,4.0,26.0,6.5
MARCADOR PONTA DUPLA AZ,2.0,9.0,4.5
MARCADOR QUADRO BRANCO B,3.0,21.0,7.0
MARCADOR QUADRO BRANCO B,3.0,21.0,7.0
MARCADOR QUADRO BRANCO V,3.0,21.0,7.0
MARCADOR RETRO PROGETOR,1.0,9.5,9.5
MARCADOR RETRO PROJETOR,11.0,49.5,4.5
MARCADOR RETRO PROJETOR1,5.0,30.0,6.0
MARCADOR RETRO PROJETOR2,13.0,78.0,6.0
MARCADOR RETRO PROJETOR3,1.0,6.0,6.0
PINCEL ATOMICO BIC RECAR,4.0,18.0,4.5
PINCEL ATOMICO BIC RECAR,5.0,22.5,4.5
