Descricao,Quantidade,TotalVenda,PrecoUnitario
CAN FA,64.0,108.7,1.7
CAN GEL MOLIM METALICA P,2.0,16.0,8.0
CANETA BIC 4 CORES,3.0,29.4,9.8
CANETA BIC CRISTAL 1.6 A,2.0,4.4,2.2
CANETA BIC CRISTAL 1.6 P,3.0,6.6,2.2
CANETA BIC CRISTAL AZ,66.0,84.0,1.27
CANETA BIC CRISTAL ESCRI,48.0,49.0,1.02
CANETA BIC CRISTAL ESCRIT,17.0,17.0,1.0
CANETA BIC CRISTAL ESCRITO,18.0,18.0,1.0
CANETA BIC CRISTAL PRETA,90.0,108.0,1.2
CANETA BIC CRISTAL ULTRA,9.0,15.3,1.7
CANETA BIC CRISTAL ULTRAA,5.0,8.5,1.7
CANETA BIC CRISTAL ULTRA1,2.0,3.4,1.7
CANETA BIC CRISTAL VERDE,1.0,1.2,1.2
CANETA BIC CRISTAL VERME,15.0,18.0,1.2
CANETA BIC SHIMMERS FASH,5.0,11.5,2.3
CANETA COMPACTOR ECONOMI,1.0,1.0,1.0
CANETA DE CEDULA FALSA J,1.0,6.0,6.0
CANETA ESFEROGRAFICA PRE,1.0,9.5,9.5
CANETA HID FC 12,3.0,45.0,15.0
CANETA PILOT FINE AZ 07,5.0,19.0,3.8
CANETA PILOT FINE PRE 07,3.0,11.4,3.8
CANETA PILOT FINE VERM 0,2.0,7.6,3.8
CANETA PILOT FRIXION BAL,1.0,19.8,19.8
CANETA PILOT MEDIA AZUL,6.0,22.8,3.8
CANETA PILOT MEDIA PR M,2.0,7.6,3.8
CANETA PILOT MEDIA VERM,1.0,3.8,3.8
CANETE CIS SPIRO 07MM SO,27.0,105.3,3.9
MARC PILOT QUAD BCO C RE,2.0,36.0,18.0
MARCADOR 12C 10175 BOBG,69.0,310.5,4.5
MARCADOR CD E DVD PILOTO,5.0,34.5,6.9
MARCADOR CD PONTA FINA 1,1.0,10.0,10.0
MARCADOR CD RETO PROJETO,1.0,4.5,4.5
MARCADOR PERMANENTE PILO,1.0,6.9,6.9
MARCADOR PONTA DUPLA AZ,5.0,22.5,4.5
MARCADOR QUADRO BRANCO B,4.0,30.0,7.5
MARCADOR QUADRO BRANCO B,2.0,15.0,7.5
MARCADOR QUADRO BRANCO V,1.0,7.5,7.5
MARCADOR RETRO P.PILOT 1,2.0,19.0,9.5
MARCADOR RETRO PROJETOR,3.0,13.5,4.5
MARCADOR RETRO PROJETOR1,11.0,68.2,6.2
MARCADOR RETRO PROJETOR2,6.0,37.2,6.2
MARCADOR RETRO PROJETOR3,2.0,12.4,6.2
MARCADOR TECIDO ACRILPEN,2.0,21.0,10.5
MARCADOR TECIDO AZ ACRIL,1.0,10.5,10.5
PINCEL ATOMICO BIC RECAR,5.0,22.5,4.5
PINCEL ATOMICO BIC RECAR,5.0,22.5,4.5
PINCEL ATOMICO BIC RECAR,2.0,9.0,4.5
