Descricao,Quantidade,TotalVenda
ABECEDARIO DIVERTIDO,6.0,18.0
AGEND ESTUD KIDEN MASC,4.0,59.0
AGENDA 2024 TOK OFFICE,2.0,32.0
AGENDA 2025 A6 LISA RMT1,1.0,14.8
AGENDA 2025 TB PT M6 354,2.0,60.0
AGENDA BROCHURA PEPPER 2,2.0,46.0
AGENDA COSTURADA PEPER P,2.0,46.0
AGENDA ESPIRAL PEPPER FE,2.0,45.0
AGENDA EST KIDEN FEM,3.0,45.0
AGENDA JEANS,5.0,115.0
AGENDA PERM COST PEPPER,1.0,22.0
AGENDA PERMANENTE CLIFF,3.0,63.0
ALFANUMERICO GG 36P5724,3.0,51.0
ALMOFADA CARIMBO N3 AZUL,7.0,91.0
ALMOFADA CARIMBO N3 PRET,5.0,65.0
ALMOFADA CARIMBO N3 VERM,1.0,13.0
ALUGA-SE TAMOIO,37.0,22.0
APAGADOR BRW PAST,1.0,10.0
APAGADOR MAD QUADRO NEGR,1.0,9.8
APAGADOR PARA Q BRANCO,1.0,10.0
APONTADOR C DEPOSITO LEO,11.0,22.0
APONTADOR COM DEPOSITO F,18.0,104.4
APONTADOR LEO LEO BLOCO,17.0,32.0
APONTADOR SIMPLES 637 CI,1.0,0.6
APONTADOS C DEP BRW,20.0,20.0
APRENDA EM CASA LETRA CU,10.0,30.0
ARQ MORTO POLIONDA FACIL,6.0,60.0
BARBANTE ALGODAO 550M VO,2.0,52.0
BINGO TAMOIO 100F,1.0,4.5
BLOCO ADESIVO 76X76,2.0,12.0
BLOCO ADESIVO MAE,1.0,12.5
BLOCO ANOTACAO HA41401,1.0,9.5
BLOCO DE ANOTACAO NOTE F,12.0,102.8
BLOCO PEDIDO S COPIA1X36,41.0,100.0
BOBBIE GOODS AZUL,2.0,112.5
BOBBIE GOODS ROSA,2.0,112.5
BOBINA SIFLER 80X40,13.0,102.7
BOBINA TERMICA PDV SILVE,17.0,77.4
BOLA DE ISOPOR 100MM,9.0,46.1
BOLA DE ISOPOR 35MM,5.0,3.5
BOLSA,1.0,12.5
BOLSA SUPERBAT MI41411,1.0,70.0
BORRACHA BCA 60 LEO LEO,29.0,14.5
BORRACHA BRANCA GRANDE F,4.0,32.0
BORRACHA DIVERTIDA FANTA,6.0,12.0
BORRACHA FABER CASTELL T,106.0,446.8
BORRACHA HE40710 INTER P,58.0,116.0
BORRACHA LEO LEO COLOR,2.0,3.4
BORRACHA MC PRETA,12.0,36.0
TOTALIZACAO,502.0,2627.8
BORRACHA MC TR OVAL SORT,4.0,11.2
BORRACHA MERCU CLEAN COR,2.0,5.0
BORRACHA MERCUR 40 QUADR,28.0,35.0
BORRACHA MERCUR CLEAN CO,14.0,32.0
BORRACHA MERCUR CLEAN CO,17.0,42.0
BORRACHA MERCUR DELTA,14.0,37.7
BORRACHA MERCUR DUAS COR,30.0,39.0
BORRACHA MIX POUCO FAREL,11.0,33.0
BORRACHA PONTEIRA MERCUR,61.0,21.95
BORRACHA TR18,4.0,12.8
BRINCANDO COM OS ANIMAIS,1.0,13.0
BRINCANDO DE COLORIR,43.0,86.0
CAD 1X4 BROC JAND FEM 48,3.0,22.5
CAD BRAC UNIV CD 96FWOOF,4.0,54.0
CAD BROC UNIV CD COST 96,6.0,87.0
CAD BROC UNIV CD WANDERL,3.0,42.0
CAD CART BASIC ART CD 96,3.0,52.5
CAD CD 1X4 96F AZUL JAND,4.0,31.2
CAD CD 1X4 FAST 200F,10.0,140.0
CAD CD 1X8 LIBERTY 80F,9.0,80.0
CAD CD 1X8 STELLA 80F,2.0,14.0
CAD CD 4 ELEMENTOS 20M 3,4.0,176.0
CAD CD 96 F JANDAIA VERM,3.0,23.4
CAD CD 96F AMA JAND,3.0,23.4
CAD CD ACT 20M 320F,5.0,200.0
CAD CD ARMY 12M 192F,6.0,150.0
CAD CD ARMY MASK 20M 320,10.0,390.0
CAD CD BEE 15 MAT 300F,1.0,41.0
CAD CD BICYCLES 1M 80F,8.0,96.0
CAD CD BRASI 15 300F,3.0,102.0
CAD CD BROC 48F PRETO,7.0,66.5
CAD CD BROC 96F VERD,4.0,51.6
CAD CD BROC INIV HURRAC,2.0,27.6
CAD CD BROC UNIV  96F FU,2.0,29.6
CAD CD BROC X FOTO 1M 80,4.0,56.0
CAD CD CART CLIFF 80F,6.0,90.0
CAD CD CART FAST 48F,13.0,130.0
CAD CD CART FAST RACE 80,2.0,35.0
CAD CD CART PET 80F,1.0,17.5
TOTALIZACAO,915.0,5784.05
CAD CD CARTO FADAS 80F,5.0,135.0
CAD CD CARTO STONE 80F,4.0,70.0
CAD CD CARTOG PETIT 80F,3.0,67.5
CAD CD CIFF FEM 15M 240F,2.0,71.0
CAD CD CLIF FEM 1M 8OF,4.0,52.0
CAD CD CLIF FEM 20M 320F,3.0,128.0
CAD CD CLIF MASC 80F 1M,8.0,104.0
CAD CD ESP 1X4 NATURE 96,4.0,39.2
CAD CD FLOWERS 10M 140F,13.0,221.0
CAD CD FLOWERS 12M 168F,13.0,253.5
CAD CD FLOWERS 15M 210F,13.0,336.0
CAD CD FLOWERS 20 MAT 28,16.0,496.0
CAD CD FURRY BEARS 12M 2,2.0,69.0
CAD CD GAME 10M 160F,2.0,45.0
CAD CD GAME 20M 320F,5.0,200.0
CAD CD JEANS WORLD 15M 2,1.0,26.0
