                                                       ITENS VENDIDOS NO PERIODO
 /01/2025  a  31/01/2025
  ----------------------------------------------------------------------------------------------------------------------------------
  Pedido|    NF/ECF    |Data      |Cliente                    |Descricao               |Qtidade   |Total Venda|Total Custo|Canc/Devo
  ----------------------------------------------------------------------------------------------------------------------------------
       0|              |          |      0-00                 |ABC DO ESTUDANTE        |     2,000|       2,00|       0,00|     0,00
       0|              |          |      0-00                 |ABECEDARIO DIVERTIDO    |     1,000|       3,00|       0,00|     0,00
       0|              |          |      0-00                 |ACRIPEN P TECIDO VERDE M|     1,000|      10,30|       0,00|     0,00
       0|              |          |      0-00                 |ADESIVOS DECORADOS PRINC|     1,000|       4,50|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA 2024 TOK OFFICE  |     1,000|      16,00|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA 2025 A6 LISA RMT1|     1,000|      14,80|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA 2025 TB PT M6 354|     2,000|      60,00|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA BROCHURA PEPPER 2|     2,000|      46,00|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA COSTURADA PEPER P|     3,000|      69,00|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA ESPIRAL PEPPER FE|     1,000|      22,50|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA ESPIRAL PEPPER PT|     3,000|      69,00|       0,00|     0,00
       0|              |          |      0-00                 |AGENDA JEANS            |     3,000|      69,00|       0,00|     0,00
       0|              |          |      0-00                 |ALFANUMERICO GG 36P5724 |     1,000|      17,00|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA P/CARIMBO BAZZE|     1,000|      10,00|       0,00|     0,00
       0|              |          |      0-00                 |ALMOFADA P/CARIMBO BAZZE|     1,000|      10,00|       0,00|     0,00
       0|              |          |      0-00                 |ALUGA-SE TAMOIO         |    11,000|       6,60|       0,00|     0,00
       0|              |          |      0-00                 |APAGADOR BRW PAST       |     1,000|      10,00|       0,00|     0,00
       0|              |          |      0-00                 |APAGADOR QUAD BRAN PR469|     1,000|       8,00|       0,00|     0,00
       0|              |          |      0-00                 |APONT C DEP MAPED 2FUROS|     1,000|       8,50|       0,00|     0,00
       0|              |          |      0-00                 |APONT C.DEP LEOLEO RET 4|    24,000|      48,00|       0,00|     0,00
       0|              |          |      0-00                 |APONT CLASS. LEOLEO META|     2,000|       2,60|       0,00|     0,00
       0|              |          |      0-00                 |APONT LEOLEO RED        |     2,000|       1,00|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR C DEPOSITO LEO|     3,000|       6,00|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR COM DEPOSITO F|     1,000|       5,80|       0,00|     0,00
       0|              |          |      0-00                 |APONTADOR LEO LEO BLOCO |     5,000|       8,00|       0,00|     0,00
       0|              |          |      0-00                 |APRENDA EM CASA LETRA CU|     2,000|       6,00|       0,00|     0,00
       0|              |          |      0-00                 |ARQ MORTO POLIONDA FACIL|     2,000|      20,00|       0,00|     0,00
       0|              |          |      0-00                 |AVENTAL ESC INFAN CRISTA|     1,000|      13,50|       0,00|     0,00
       0|              |          |      0-00                 |AVENTAL ESC INFAN JOY   |     2,000|      22,00|       0,00|     0,00
       0|              |          |      0-00                 |AVIAO TOK MT1431        |     1,000|       7,00|       0,00|     0,00
       0|              |          |      0-00                 |AVIAO VAI E VOLTA       |     1,000|       9,50|       0,00|     0,00
       0|              |          |      0-00                 |BABY EDUCATIVO KENDY    |     1,000|      16,00|       0,00|     0,00
       0|              |          |      0-00                 |BALAO SAO ROQUE  C/50 VE|     1,000|       8,90|       0,00|     0,00
       0|              |          |      0-00                 |BAMBOLE                 |     2,000|      11,20|       0,00|     0,00
       0|              |          |      0-00                 |BARBANTE EUROROMA 305M 4|     1,000|      15,00|       0,00|     0,00
       0|              |          |      0-00                 |BATEDEIRA TOPI          |     1,000|      19,00|       0,00|     0,00
       0|              |          |      0-00                 |BI TREM CARROCA M 0026  |     1,000|      49,50|       0,00|     0,00
       0|              |          |      0-00                 |BINGO LOTTO 15CM C/ACESS|     1,000|      39,00|       0,00|     0,00
       0|              |          |      0-00                 |BINGO TAMOIO 100F       |     1,000|       4,50|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO ANOT C 100F SORTID|     1,000|       2,80|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO ANOTACAO HA41401  |     1,000|       9,50|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO DE ANOTACAO NOTE F|     1,000|       8,80|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO MONT MATRIX       |     6,000|      68,00|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO NOT NEON R ADELB  |     1,000|       4,00|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO PEDIDO C COPIA 1X1|     3,000|      12,00|       0,00|     0,00
       0|              |          |      0-00                 |BLOCO PEDIDO S COPIA1X36|     1,000|       2,50|       0,00|     0,00
       0|              |          |      0-00                 |BOBINA SIFLER 80X40     |     6,000|      47,40|       0,00|     0,00
       0|              |          |      0-00                 |BOBINA TERM 57X15 SILFER|     5,000|      16,25|       0,00|     0,00
       0|              |          |      0-00                 |BOBINA TERMICA PDV SILVE|     2,000|       8,60|       0,00|     0,00
       0|              |          |      0-00                 |BOLA CANARINHO          |     1,000|      18,00|       0,00|     0,00
  ----------------------------------------------------------------------------------------------------------------------------------

  Terca-Feira, 29 de Julho de 2025

                                                       ITENS VENDIDOS NO PERIODO
 /01/2025  a  31/01/2025
  ----------------------------------------------------------------------------------------------------------------------------------
  Pedido|    NF/ECF    |Data      |Cliente                    |Descricao               |Qtidade   |Total Venda|Total Custo|Canc/Devo
  ----------------------------------------------------------------------------------------------------------------------------------
       0|              |          |      0-00                 |BOLA DE ISOPOR 100MM    |     3,000|      12,50|       0,00|     0,00
       0|              |          |      0-00                 |BOLA DE ISOPOR 150MM    |     1,000|      10,50|       0,00|     0,00
       0|              |          |      0-00                 |BOLA DE ISOPOR 70MM     |     2,000|       5,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA PNO2               |     1,000|      18,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA STRMIX 5 GST811-817|     7,000|     154,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLA VOLEI              |     1,000|      23,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLBINA TERMICA 80X40 KP|     4,000|      56,00|       0,00|    24,00
       0|              |          |      0-00                 |BOLHA DE SABAO 50ML     |     2,000|       8,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLINHAS PARA PISCINA   |    12,000|      12,00|       0,00|     0,00
       0|              |          |      0-00                 |BOLSA                   |     1,000|      12,50|       0,00|     0,00
       0|              |          |      0-00                 |BON DINDINHA BABY 0705  |     1,000|      27,50|       0,00|     0,00
       0|              |          |      0-00                 |BONECA MULT MIX ANGEL   |     1,000|      11,00|       0,00|     0,00
       0|              |          |      0-00                 |BONECA PLASTICO MT2349  |     1,000|      13,00|       0,00|     0,00
       0|              |          |      0-00                 |BONECO MILITAR MT2013   |     1,000|      12,50|       0,00|     0,00
